patent_number,published,title,url
US20260121924A1,2026-04-30,Device configuration parameter determination,https://patents.google.com/patent/US20260121924A1
US20260087068A1,2026-03-26,Tag distribution visualization system,https://patents.google.com/patent/US20260087068A1
US20260065571A1,2026-03-05,Management of pseudorandom animation system,https://patents.google.com/patent/US20260065571A1
US20260067116A1,2026-03-05,Presenting captured screen content within a virtual conferencing system,https://patents.google.com/patent/US20260067116A1
US20260057606A1,2026-02-26,Autodecoding latent 3d diffusion models,https://patents.google.com/patent/US20260057606A1
US20260057420A1,2026-02-26,Media collection navigation with opt-out interstitial,https://patents.google.com/patent/US20260057420A1
US20260044219A1,2026-02-12,Virtual manipulation of augmented and virtual reality objects,https://patents.google.com/patent/US20260044219A1
US20260044943A1,2026-02-12,Location mapping for large scale augmented-reality,https://patents.google.com/patent/US20260044943A1
US20260038211A1,2026-02-05,Beautification techniques for 3d data in a messaging system,https://patents.google.com/patent/US20260038211A1
US20260030302A1,2026-01-29,Searching social media content,https://patents.google.com/patent/US20260030302A1
US20260017328A1,2026-01-15,Automatic techniques for constructing an evolving interest taxonomy from user- &hellip;,https://patents.google.com/patent/US20260017328A1
US20260017316A1,2026-01-15,Content navigation with automated curation,https://patents.google.com/patent/US20260017316A1
US20260019655A1,2026-01-15,Machine learning model continuous training system,https://patents.google.com/patent/US20260019655A1
US20260016885A1,2026-01-15,Timelapse re-experiencing system,https://patents.google.com/patent/US20260016885A1
WO2026055657A1,2026-03-12,Adaptive posegraph-based localization,https://patents.google.com/patent/WO2026055657A1
US20250390411A1,2025-12-25,Optimized ml model loading using predicted usage and device state,https://patents.google.com/patent/US20250390411A1
US20250362938A1,2025-11-27,Interface to configure media content,https://patents.google.com/patent/US20250362938A1
US20250356569A1,2025-11-20,Unsupervised volumetric animation,https://patents.google.com/patent/US20250356569A1
US20250350707A1,2025-11-13,Headware with computer and optical element for use therewith and systems &hellip;,https://patents.google.com/patent/US20250350707A1
US20250348533A1,2025-11-13,Prioritized device actions triggered by device scan data,https://patents.google.com/patent/US20250348533A1
US20250329068A1,2025-10-23,Image generation using surface-based neural synthesis,https://patents.google.com/patent/US20250329068A1
US20250329181A1,2025-10-23,On-device two step approximate string matching,https://patents.google.com/patent/US20250329181A1
US20250329096A1,2025-10-23,Animated expressive icon,https://patents.google.com/patent/US20250329096A1
US20250308176A1,2025-10-02,Generating user interfaces displaying augmented reality graphics,https://patents.google.com/patent/US20250308176A1
US20250299248A1,2025-09-25,"Augmented reality social media platform, systems, and methods related thereto",https://patents.google.com/patent/US20250299248A1
US20250291416A1,2025-09-18,Emg speech signal detection,https://patents.google.com/patent/US20250291416A1
US20250285391A1,2025-09-11,Virtual surface modification,https://patents.google.com/patent/US20250285391A1
US20250278781A1,2025-09-04,Home based augmented reality shopping,https://patents.google.com/patent/US20250278781A1
US20250252685A1,2025-08-07,Augmented reality anamorphosis system,https://patents.google.com/patent/US20250252685A1
US20250265791A1,2025-08-21,Ar position and orientation along a plane,https://patents.google.com/patent/US20250265791A1
US20250240342A1,2025-07-24,Content collection navigation and autoforwarding,https://patents.google.com/patent/US20250240342A1
US20250225981A1,2025-07-10,Messaging system with trend analysis of content,https://patents.google.com/patent/US20250225981A1
US20250190050A1,2025-06-12,Bending-assisted calibration for extended reality tracking,https://patents.google.com/patent/US20250190050A1
US20250181170A1,2025-06-05,Vibrational input elements,https://patents.google.com/patent/US20250181170A1
US20250181212A1,2025-06-05,Content discovery refresh,https://patents.google.com/patent/US20250181212A1
WO2025170912A1,2025-08-14,3d mask generation,https://patents.google.com/patent/WO2025170912A1
US20250168488A1,2025-05-22,Scaled perspective zoom on resource constrained devices,https://patents.google.com/patent/US20250168488A1
US20250157162A1,2025-05-15,Orientation of augmented content in interaction systems,https://patents.google.com/patent/US20250157162A1
US20250184460A1,2025-06-05,Effects for 3d data in a messaging system,https://patents.google.com/patent/US20250184460A1
US20250086909A1,2025-03-13,Augmented reality content generators including 3d data in a messaging system,https://patents.google.com/patent/US20250086909A1
US20250063009A1,2025-02-20,Media item attachment system,https://patents.google.com/patent/US20250063009A1
US20250061730A1,2025-02-20,Scene reconstruction in three-dimensions from two-dimensional images,https://patents.google.com/patent/US20250061730A1
US20250022238A1,2025-01-16,9-dof object tracking,https://patents.google.com/patent/US20250022238A1
US20240402877A1,2024-12-05,Map-based graphical user interface indicating geospatial activity metrics,https://patents.google.com/patent/US20240402877A1
US20240393925A1,2024-11-28,Messaging system for resurfacing content items,https://patents.google.com/patent/US20240393925A1
CN121816734A,2026-04-07,Automatic ranking and display of user groups in a messaging system,https://patents.google.com/patent/CN121816734A
US20240393924A1,2024-11-28,Message thread prioritization interface,https://patents.google.com/patent/US20240393924A1
US20240362863A1,2024-10-31,Location based augmented-reality system,https://patents.google.com/patent/US20240362863A1
US20240323641A1,2024-09-26,Visitation tracking system,https://patents.google.com/patent/US20240323641A1
KR20260018968A,2026-02-09,Presenting media content as memories,https://patents.google.com/patent/KR20260018968A
US20240320417A1,2024-09-26,Annotating a collection of media content items,https://patents.google.com/patent/US20240320417A1
US20240314100A1,2024-09-19,Messaging system of partial and out-of-order events,https://patents.google.com/patent/US20240314100A1
US20240302932A1,2024-09-12,Standardized ar interfaces for iot devices,https://patents.google.com/patent/US20240302932A1
CN121127813A,2025-12-12,Augmented Reality Mood Board,https://patents.google.com/patent/CN121127813A
